id,title,body,department,sentiment
1,Feedback senza filtri,"Weekend veloce, recensione scritta a caldo. Niente da dire su garage e camera pronta, anche chiarezza in linea. Bilancio finale buono, tornerei. Detto questo, qualche passaggio è stato poco chiaro. Per me esperienza complessivamente valida.",Housekeeping,pos
2,Valutazione generale - sull'accoglienza,"Recensione sincera, senza giri di parole. Per pagamento e check in mi aspettavo molto di piu, male anche su assistenza. Non è andata bene, punto. Al momento non mi sento di consigliarlo senza riserve.",Reception,neg
3,Posto promosso sul serio,"Weekend veloce, recensione scritta a caldo. Per buffet e lattosio davvero bene, con servizio gestito in modo ordinato. Esperienza bella piena e senza brutte sorprese. Direi che il soggiorno è stato centrato.",F&B,pos
4,Com'è andata davvero,"Recensione sincera, senza giri di parole. La parte materasso/manutenzione non ha funzionato bene, soprattutto su rapidità del riordino. Arrivando stanchi la sera, trovare il bagno in quelle condizioni ha peggiorato tutto il soggiorno. Alla fine ci è rimasta una brutta sensazione. A margine segnalo anche pranzo e lattosio, non solo l'area principale. Non escludo un ritorno, ma solo con miglioramenti concreti.",Housekeeping,neg
5,Valutazione generale,"Siamo stati in struttura due notti. Riordino fatto male, letto sistemato in fretta e bagno lasciato con dettagli che non dovrebbero esserci. Dopo una giornata intera fuori volevamo solo una camera a posto, e invece abbiamo trovato disordine e odori. Sinceramente così non ci siamo. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg
6,Recensione schietta - su check in/out,"Viaggio corto ma abbastanza per capire come gira il posto. Su navetta e accoglienza ci sono stati problemi, e il lato gestione reclami e da rivedere. Non è andata bene, punto.",Reception,neg
7,Recensione post viaggio,"Lo scrivo adesso perchè è ancora fresco. Abbiamo mangiato assai e bene: piatti curati, sala tranquilla e tempi sensati. Direi promosso, anche oltre le aspettative. Alla fine ci siamo alzati dal tavolo e dalla stanza contenti.",F&B,pos
8,Sotto le aspettative - in ristorazione,"Weekend veloce, recensione scritta a caldo. A tavola male: piatti tiepidi, attese lunghe e servizio che si perdeva tra un tavolo e l'altro. Per un pranzo di famiglia ci aspettavamo più cura, non certo tempi morti e portate tiepide. Nel complesso esperienza sotto le aspettative. Non escludo un ritorno, ma solo con miglioramenti concreti.",F&B,neg
9,Feedback sul soggiorno,"Su cornetti e buffet nessun problema, bene anche il lato gestione allergie. Esperienza bella piena e senza brutte sorprese.",F&B,pos
10,Non proprio convincente,"Weekend veloce, recensione scritta a caldo. La parte documenti/parcheggio non ha funzionato bene, soprattutto su chiarezza. Sinceramente così non ci siamo. A cascata ho visto pure questioni su ristorante e lattosio. Spero migliorino perché la struttura ha potenziale.",Reception,neg
11,Recensione schietta,"Weekend veloce, recensione scritta a caldo. Per attesa e late check out davvero bene, con organizzazione gestito in modo ordinato. In generale il servizio ha funzionato. Se resta così, lo consiglio sereno.",Reception,pos
12,Esperienza da rivedere - su cena e sala,"Soggiorno breve ma intenso. La parte cameriere/porzioni non ha funzionato bene, soprattutto su temperature. Bilancio finale deludente. Così faccio fatica a consigliarlo ad amici o parenti.",F&B,neg
13,Feedback senza filtri,"Parlo da ospite normale, non da cliente che cerca il pelo nell'uovo. A tavola male: piatti tiepidi, attese lunghe e servizio che si perdeva tra un tavolo e l'altro. Nel complesso esperienza sotto le aspettative.",F&B,neg
14,Qualche problema di troppo,"Ci siamo fermati solo per un fine settimana. Ho trovato criticita su navetta e fattura, con gestione disponibilità poco efficace. Sinceramente così non ci siamo.",Reception,neg
15,Non proprio convincente,"Soggiorno breve ma intenso. Arrivo e partenza gestiti male: coda, poca chiarezza e tempo perso inutilmente. Nel complesso esperienza sotto le aspettative.",Reception,neg
